stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart
0,2,5,0.0450895,,0.037123791000340134,0.0450895,0.5029958749946672,0.5029958749946672,0.5426510830002371,0.7928882909909589,1.4664177499944344,right,5,1,1,0.9215344170079334,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
1,2,3,1.4715207909903256,,1.4665952079958515,1.4715207909903256,1.9595902079890948,1.9595902079890948,1.9595902079890948,2.2558924579934683,2.725833790987963,right,3,1,1,0.7593100829981267,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
2,1,1,2.751065958000254,,2.7260164159961278,2.751065958000254,3.2224938750005094,3.2224938750005094,3.242885583,3.5093099160003476,3.9444988329923945,right,1,0,0,0.7194098340114579,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
3,1,2,3.955428540997673,,3.944630040990887,3.955428540997673,4.439060707998578,4.439060707998578,4.443026790992008,4.726868207988446,4.957569165999303,left,-2,1,1,0.5108765000040876,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
4,1,2,4.965951082995161,,4.957686290988931,4.965951082995161,5.455996333,5.455996333,5.460369874999742,5.743010332997073,5.791521415987518,right,2,1,1,0.3250262919900706,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
5,1,2,5.7999695829930715,,5.791668790989206,5.7999695829930715,6.289358832989819,6.289358832989819,6.293617707997328,6.576409457993577,6.645660290989326,right,2,1,1,0.3536351660004584,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
6,1,1,6.655609915993409,,6.645789749993128,6.655609915993409,7.143458291,7.143458291,7.143458291,7.4396184159995755,7.591520874993876,left,-1,1,1,0.4357869999948889,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
7,1,1,7.600245958,,7.591662915991037,7.600245958,8.089415457987343,8.089415457987343,8.093762582997442,8.375668207998388,8.508028165990254,left,-1,1,1,0.4043786249967525,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
8,0.5,1,8.51620325,,8.508176582996384,8.51620325,9.006225957986317,9.006225957986317,9.010546708,9.293326207989594,9.425032916,left,-1,0,0,0.414916,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
9,0.5,1.5,9.433259749988792,,9.425204540995765,9.433259749988792,9.922783874993911,9.922783874993911,9.926906915992731,10.210499665990938,10.324989665998146,right,1.5,0,0,0.39506554199033417,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
10,0.5,2,10.333268249989487,,10.325131833000341,10.333268249989487,10.822851582997828,10.822851582997828,10.826725915991119,11.109548624997842,11.424912040994968,right,2,1,1,0.5941323330043815,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
11,0.5,2,11.433304582998971,,11.425058374996297,11.433304582998971,11.92292145799729,11.92292145799729,11.927313499996671,12.210784040988074,12.358305707995896,right,2,1,1,0.42288958399149124,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
12,0.5,2,12.367438749992289,,12.358467082987772,12.367438749992289,12.856216832995415,12.856216832995415,12.860372499999357,13.143330165999942,13.295444165996742,right,2,0,0,0.43555933400057256,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
13,0.5,2.5,13.305919082995388,,13.295603249993292,13.305919082995388,13.794053499994334,13.794053499994334,13.794053499994334,14.089860665990273,14.158319582988042,left,-2.5,1,1,0.36129550001351163,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
14,0.5,2.5,14.163768290993175,,14.158456499993918,14.163768290993175,14.656401040992932,14.656401040992932,14.660745207991567,14.943968374995166,15.124920207992545,right,2.5,1,1,0.46347829200385604,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
15,0.5,2.5,15.133003749986528,,15.125054457996157,15.133003749986528,15.623181707996991,15.623181707996991,15.627401124991593,15.910362208000151,16.14172783,right,2.5,1,1,0.5111313749948749,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
16,0.5,2,16.15026112,,16.141884707991267,16.15026112,16.6397095,16.6397095,16.644220249989303,16.926372957997955,16.941877416000352,right,2,1,1,0.2975564160005888,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
17,0.5,2,16.950352832995122,,16.94203700000071,16.950352832995122,17.439819624996744,17.439819624996744,17.44410241598962,17.726779665987124,17.775347499991767,right,2,1,1,0.3269499169982737,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
18,0.5,2,17.78343899999163,,17.77546654098842,17.78343899999163,18.273326707989327,18.273326707989327,18.27777599998808,18.56056762499793,18.562086249992717,right,2,1,1,0.28635633300291374,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
19,0.5,1.5,18.57324279099703,,18.562204957997892,18.57324279099703,19.06065224998747,19.06065224998747,19.06065224998747,,19.291653082997072,left,-1.5,0,0,0.22257804201217368,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
20,0.5,2,19.30000854098762,,19.291795290992013,19.30000854098762,19.790090040987707,19.790090040987707,19.794702125000185,20.07686395799101,20.141895082997507,left,-2,0,0,0.3389629169978434,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
21,0.5,2.5,20.150513,,20.142044457999873,20.150513,20.63979695799935,20.63979695799935,20.643889082988608,20.927008165992447,21.195708582992665,right,2.5,1,1,0.552933375,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
22,0.5,2.5,21.206441124988487,,21.195826582988957,21.206441124988487,21.69411983298778,21.69411983298778,21.69411983298778,21.990261457991437,22.208636790994206,right,2.5,1,1,0.5020650420046877,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
23,0.5,2.5,22.217244957995717,,22.208787749987096,22.217244957995717,22.706807707989356,22.706807707989356,22.711050165991765,22.993116915997234,23.25882812499185,left,-2.5,1,1,0.5481921659957152,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
24,0.5,2,23.266943832990364,,23.25898120799684,23.266943832990364,23.756838832996436,23.756838832996436,23.761089999999967,24.043629040999804,24.51183212499018,right,2,1,1,0.7525181670062011,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
25,0.5,2,24.523578582986374,,24.511953875000472,24.523578582986374,25.006937499987544,25.006937499987544,25.011180915986188,25.294409957990865,25.345720790995983,right,2,0,0,0.3366620419983519,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
26,0.5,2.5,25.35666704099276,,25.345853374994476,25.35666704099276,25.840291249987786,25.840291249987786,25.84460608298832,26.127514165986213,26.55878195799596,right,2.5,1,1,0.7061003330018139,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
27,0.5,2.5,26.56787354098924,,26.558950332997483,26.56787354098924,27.057067540998105,27.057067540998105,27.06147787498776,27.343731082990416,27.56388312499621,right,2.5,0,0,0.5042494169902056,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
28,0.5,3,27.57365745799325,,27.56404429099348,27.57365745799325,28.061037749997922,28.061037749997922,28.061037749997922,28.357140749998507,28.79233799999929,right,3,1,1,0.7221103750052862,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
29,0.5,3,28.800650040997425,,28.792487,28.800650040997425,29.29050337499939,29.29050337499939,29.29478549999476,29.577184874986415,29.759263332991395,left,-3,1,1,0.4588965000002645,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
30,0.5,3,29.767627957990044,,29.75940987,29.767627957990044,30.257043040997814,30.257043040997814,30.26125020798645,30.544095416000346,30.69122504099505,right,3,1,1,0.4208580419945065,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
31,0.5,2.5,30.696326874996885,,30.69135104099405,30.696326874996885,31.179921082992223,31.179921082992223,31.19054412499827,31.477546374997473,31.862925582987373,right,2.5,1,1,0.6809445409890031,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
32,0.5,2.5,31.873505790994386,,31.863058207993163,31.873505790994386,32.361583207995864,32.361583207995864,32.361583207995864,32.65760304,32.75906287498947,left,-2.5,1,1,0.39198229101020843,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
33,0.5,2.5,32.76745470799506,,32.75920629,32.76745470799506,33.25721724999312,33.25721724999312,33.261513416000525,33.54485254098836,33.74650208299863,left,-2.5,1,1,0.48576562499511056,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
34,0.5,2,33.769167415986885,,33.74665029,33.769167415986885,34.25286891599535,34.25286891599535,34.26957967,34.54380741599016,34.74209762499959,right,2,1,1,0.48282120800286066,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
35,0.5,2,34.75036958299461,,34.74222654099867,34.75036958299461,35.240684749995125,35.240684749995125,35.24560658299015,35.52760924999893,35.75971008298802,right,2,1,1,0.5046246669953689,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
36,0.5,2,35.76907979098905,,35.759883124992484,35.76907979098905,36.257391582999844,36.257391582999844,36.26165783299075,36.54419304098701,36.859292207998806,left,-2,1,1,0.5979249170050025,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
37,0.5,1.5,36.867940540993004,,36.85945120798715,36.867940540993004,37.35744874998636,37.35744874998636,37.36176799998793,37.643902207986685,37.759313874994405,left,-1.5,0,0,0.3979097499977797,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
38,0.5,2,37.76437924998754,,37.759463165988564,37.76437924998754,38.25698733299214,38.25698733299214,38.26181349999388,38.544026582996594,38.80989517,right,2,1,1,0.5395850839995546,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
39,0.5,2,38.819441832994926,,38.81013787499978,38.819441832994926,39.34068483299052,39.34068483299052,39.34068483299052,39.62734633299988,40.030911415989976,right,2,1,1,0.6875289169984171,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
40,0.5,2,40.04053087499051,,40.03107179098879,40.04053087499051,40.52818154099805,40.52818154099805,40.52818154099805,40.82426937499258,41.05968495798879,left,-2,1,1,0.5272818329976872,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
41,0.5,1.5,41.068290707989945,,41.059867915988434,41.068290707989945,41.557689124994795,41.557689124994795,41.561893374993815,41.844792915988364,42.07646733299771,left,-1.5,1,1,0.509933875,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
42,0.5,1.5,42.084616957989056,,42.076619125000434,42.084616957989056,42.57447974999377,42.57447974999377,42.57881749999069,42.861250582995126,43.07991958298953,right,1.5,1,1,0.5024769580049906,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
43,0.5,1.5,43.09086008298618,,43.08004349999828,43.09086008298618,43.57842895798967,43.57842895798967,43.57842895798967,,43.83047974998772,right,1.5,1,1,0.24976020900066942,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
44,0.5,1,43.84064124998986,,43.830610290999175,43.84064124998986,44.32868924998911,44.32868924998911,44.32868924998911,,44.525281832990004,right,1,1,1,0.18389749999914784,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
45,0.5,1,44.530354832997546,,44.525426457999856,44.530354832997546,45.013691457992536,45.013691457992536,45.024557707991335,,45.080029165997985,right,1,1,1,0.063815916,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
46,0.5,1,45.09093666599074,,45.08015066599182,45.09093666599074,45.57438229098625,45.57438229098625,45.57867508298659,45.861937707988545,46.05979449998995,right,1,1,1,0.47514783398946747,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
47,0.5,1,46.06853904099262,,46.05996441599564,46.06853904099262,46.55796062499576,46.55796062499576,46.562241166000604,46.84436187498795,46.863045249992865,left,-1,0,0,0.3026595410046866,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
48,0.5,1.5,46.874690165990614,,46.86318708,46.874690165990614,47.35800579100032,47.35800579100032,47.36220154099283,47.645146124996245,47.713077749998774,right,1.5,1,1,0.35185249999631196,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
